Location,Period,Kitchen,Dish_Name,Description,Portion_Size,Ingredients,Calories,Protein (g),Total Carbohydrates (g),Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Dietary Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Trans Fat (g),Vitamin D (IU),Vitamin C (mg),Calories From Fat,Vitamin A (RE),Saturated Fat + Trans Fat (g),Allergens
IV,Lunch,GLOBAL BOWLS,Italian Dressing,,1 floz,Italian Dressing,110,0,2,2,12,2,0,0,270,0,0,0,0,0.0,0.0,110,0.0,0,"Garlic, Vegan, Vegetarian, Avoiding Gluten, Celery*, Mustard*, Onion"
IV,Lunch,GLOBAL BOWLS,Ranch Dressing,,1 floz,Ranch Dressing,140,0,1,1,15,2,10,0,190,0,0,0,0,0,0.0,130,0.0,0,"Garlic, Vegetarian, Avoiding Gluten, Milk, Celery*, Mustard*, Onion, Egg"
IV,Lunch,GLOBAL BOWLS,Blue Cheese Dressing,,1 floz,Blue Cheese Dressing,140,1,1,1,15,2.5,10,0,230,0,0,0,0,0.0,0.0,140,0.0,5,"Garlic, Vegetarian, Avoiding Gluten, Milk, Egg, MSG"
IV,Lunch,GLOBAL BOWLS,Balsamic Vinaigrette Dressing,,1 floz,Balsamic Vinaigrette,60,0,5,4,4.5,0,0,0,190,0,0.0,0,0,0,0.0,45,0.0,0,"Garlic, Vegan, Vegetarian, Avoiding Gluten, Celery*, Mustard*"
IV,Lunch,GLOBAL BOWLS,Creamy Caesar Dressing,,1 floz,Caesar Dressing,150,1,1,0,16,2.5,0,0,280,0,0,0,0,0.0,0.0,150,0.0,5,"Garlic, Avoiding Gluten, Milk, Celery*, Mustard, Fish"
IV,Lunch,GLOBAL BOWLS,Greek Dressing,,1 floz,Greek Dressing,100,0,0.0,0,11,1.5,0,0,280,10,10,0.1,0,0,0,100,0,0,"Garlic, Vegetarian, Avoiding Gluten, Milk, Onion, Mustard, Celery"
IV,Lunch,GLOBAL BOWLS,Extra Virgin Olive Oil,,1 floz,Olive Oil,240,0,0,0,27,3.5,0,0,0,0,0,0.2,0.0,0,0,240,0.0,5,"Vegan, Vegetarian, Avoiding Gluten"
IV,Lunch,GLOBAL BOWLS,Balsamic Vinegar,,1 floz,Balsamic Vinegar,25,0,5,4,0,0,0,0,5,30,10,0.2,0,0,0,0,0,0,"Vegan, Vegetarian, Avoiding Gluten, Sulphites"
IV,Lunch,GLOBAL BOWLS,Croutons,Croutons to add to a salad,1 ounce,"French Baguette, Garlic, Salt, Canola Oil",80,2,16,0,0,0,0,0.0,360,30,10,1.1,0,0,0,0,0,0,"Garlic, Vegetarian, Gluten, Wheat, Soy*, Milk*, Tree Nuts*"
IV,Lunch,GLOBAL BOWLS,Roasted Sunflower Seeds,,1 ounce,Sunflower Seeds,160,5,7,0.0,14,1.5,0,3,0,240,20,1.1,0.0,0,0,130,0.0,0,"Vegan, Vegetarian, Avoiding Gluten"
IV,Lunch,GLOBAL BOWLS,Golden Raisins,,1 ounce,Raisins,90,0.0,23,19,0,0,0,0.0,5,210,20,0.3,0,0,1,0,0.0,0,"Vegan, Vegetarian, Sulphites"
IV,Lunch,GLOBAL BOWLS,Dried Cranberries,,1 ounce,Cranberries,90,0,23,21,0,0,0,2,0,10,0,0.1,0,0,0,0,0.0,0,"Vegan, Vegetarian, Avoiding Gluten"
IV,Lunch,SOUP,Southwest Tortilla Soup,"corn, diced celery, onions, carrots, tomatoes and garlic simmered in a rich chicken broth spiced with cumin, ground pepper and stone ground corn flour",8 floz,Southwest Tortilla Soup,130,3,17,4,6,2,10,2,590,300,50,0.9,0,0,10,60,190,0,"Garlic, Milk, Tomato, Beef, Onion, Soy, Gluten*, Poultry, Celery, MSG*"
IV,Lunch,SOUP,Italian Wedding Soup,"miniature Italian meatballs simmered in a light garlic scented chicken broth with onions, celery, carrots, red bell peppers, escarole, basil and Acini",8 floz,Italian Wedding Soup,120,6,11,3,5,1.5,15,2,490,400,100,1.1,0,0,4,45,100,0,"Garlic, Gluten, Milk, Wheat, Tomato, Onion, Soy, Egg, Poultry, Celery, MSG*"
IV,Lunch,SOUP,"Crackers, Oyster, Zesta, Keebler, 0.5 oz",Keebler Zesta Oyster Crackers,1 each,"Enriched flour (wheat flour, niacin, reduced iron, vitamin B1 [thiamin mononitrate], vitamin B2 [riboflavin], folic acid), soybean oil (with TBHQ for freshness), leavening (baking soda, sodium acid pyrophosphate, monocalcium phosphate). Contains 2% or less of sugar, salt, malt extract, soy lecithin. Contains: Wheat, Soy. ",60,1,9,0,2.5,0,0,0,140,10,0,0.5,0,0,0.0,20,0.0,0,"Vegetarian, Gluten, Wheat, Soy"
