Kitchen,Dish Name,Description,Portion,Ingredients,Calories,Protein (g),Total Carbohydrates (g),Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Dietary Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Trans Fat (g),Vitamin D (IU),Vitamin C (mg),Calories From Fat,Vitamin A (RE),Saturated Fat + Trans Fat (g),Allergens
FLOUR + SAUCE,Cheese Pizza,"Traditional pie topped with Italian tomato sauce, mozzarella, and parmesan cheese.",1 slice,"Pizza Dough, Parmesan Cheese, Part Skim Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Chopped whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Canola Oil, Salt, Basil, Garlic, Black Pepper",200,10,18,2,10,4,20,less than 1 gram,640,140,230,1.3,0,15,3,90,0+,5,"Gluten, Milk, Wheat, Tomato, Garlic, Egg*, Soy*, Sesame*"
FLOUR + SAUCE,BBQ Chicken Pizza,,1 slice,"Pizza Dough, Chicken, Part Skim Mozzarella Cheese, Barbecue Sauce",170,11,20,4,5,2.5,25,less than 1 gram,440,190,130,1.2,0,15,0+,50,0+,5,"Gluten, Milk, Wheat, Onion, Tomato, Garlic, Egg*, Soy*, Poultry, Sesame*, Mustard, Celery"
FLOUR + SAUCE,2Mato's Vegan Veggie Pizza					,Vegan Veggie Pizza					,1 piece,"Pizza Dough, Mushrooms, Tomatoes, Zucchini, Fennel, Eggplant, Pesto Sauce (No Nuts), Onions, Canola Oil, Sun-Dried Tomatoes, Salt, Black Pepper, Parsley, Thyme, Red Pepper",430,14,60,9+,16,2,less than 5 milligrams,6,1050,780+,80,4.6,-,40+,24,140,45+,0+,"Gluten, Milk, Wheat, Onion, Tomato, Garlic, Mustard*, Egg*, Soy*, Sesame*, Sulphites, Mushroom"
FLOUR + SAUCE,Garlic Knots,,1 each,"Pizza Dough, Pizza Sauce, Parmesan Cheese, Canola Oil, Yellow Cornmeal, Garlic, Garlic, Parsley, Oregano, Red Pepper, Italian Seasoning",140,5,26,2+,2,0,0+,2,330,140,20,1.8,-,15+,1,20,10+,0+,"Gluten, Milk, Wheat, Onion, Tomato, Garlic, Mustard*, Egg*, Soy*, Sesame*"
FLOUR + SAUCE,Marinara Sauce,,1 ladle-2oz,Marinara Sauce,35,less than 1 gram,7,4,0,0,0,1,230,180,20,0.4,0,0,-,0,-,0,"Onion, Tomato, Garlic, Gluten*"
FLOUR + SAUCE,Crushed Red Pepper,,1 tsp,Red Pepper,5,0,1,0,0,0,0,0,0,40,0,0.1,-,0,1,0,-,0+,
FLOUR + SAUCE,Grated Parmesan Cheese,,1 tbsp,Parmesan Cheese,25,2,less than 1 gram,0,1.5,1,5,0,115,10,50,0,0,0,0,15,-,0,Milk
FLOUR + SAUCE,Dried Oregano,,1 tsp,Oregano,0,0,less than 1 gram,0,0,0,0,0,0,10,20,0.4,0,0,0,0,-,0,
SWEET HOUSE,Chocolate Chip Cookies,Soft sugar cookie dotted with chocolate chips,1 each,Chocolate Chip Cookie Dough,130,1,17,10,6,3,less than 5 milligrams,0,100,30,0,1,0,0,0,50,15,5,"Beef*, Gluten, Milk, Pork*, Wheat, Egg, Soy"
SWEET HOUSE,Oatmeal Raisin Cookies,Soft sugar made from ats with raisins and a touch of mollasses,1 each,Oatmeal Raisin Cookie Dough,120,1,18,10,4.5,2,less than 5 milligrams,less than 1 gram,115,50,10,1.2,0,0,0,40,0,0,"Gluten, Milk, Wheat, Egg, Soy"
SWEET HOUSE,Brownie,,1 each,Brownie,210,3,35,26,6,2.5,45,1,240,190,0,1,0,0,-,60,-,5,"Gluten, Milk, Wheat, Egg, Soy"
SWEET HOUSE,Lemon Banquet Cake,,1 slice,Lemon Banquet Cake,550,4,56,39,34,10,65,0,270,80,20,1.1,0,0,-,310,-,10,"Beef*, Gluten, Milk, Pork*, Wheat, Egg, Soy, Tree Nuts*, Sulphites"
SWEET HOUSE,Pound Cake,Moist and delicious.,1 1/10th,Pound Cake,200,2,20,10,12,5,50,0,125,30,10,0.6,0,0,-,110,-,5,"Gluten, Milk, Wheat, Egg, Soy"
SWEET HOUSE,M&M Rice Krispie Treats ,Sweet and Yummy Rice Krispy Treats with M&M's,1 each,"Marshmallows, Rice Krispies Cereal, M&M Candies, Butter, Vanilla Extract",430,3,80,41+,12,8+,25,0,270,60,20,8.6,0,90,0+,110,-,10+,"Beef*, Gluten, Milk, Pork*, Peanuts*, Soy, Alcohol"
SOUP & CO,Southwest Tortilla Soup,"corn, diced celery, onions, carrots, tomatoes and garlic simmered in a rich chicken broth spiced with cumin, ground pepper and stone ground corn flour",8 floz,Southwest Tortilla Soup,130,3,17,4,6,2,10,2,590,300,50,0.9,0,0,10,60,190,0,"Milk, MSG*, Soy, Onion, Tomato, Beef, Garlic, Poultry, Gluten*, Celery"
SOUP & CO,"Crackers, Oyster, Zesta, Keebler, 0.5 oz",Keebler Zesta Oyster Crackers,1 each,"Enriched flour (wheat flour, niacin, reduced iron, vitamin B1 [thiamin mononitrate], vitamin B2 [riboflavin], folic acid), soybean oil (with TBHQ for freshness), leavening (baking soda, sodium acid pyrophosphate, monocalcium phosphate). Contains 2% or less of sugar, salt, malt extract, soy lecithin. Contains: Wheat, Soy. ",60,1,9,0,2.5,0,0,0,140,10,0,0.5,0,0,-,20,-,0,"Gluten, Wheat, Soy"
