Kitchen,Dish Name,Description,Portion,Ingredients,Calories,Protein (g),Total Carbohydrates (g),Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Dietary Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Trans Fat (g),Vitamin D (IU),Vitamin C (mg),Calories From Fat,Vitamin A (RE),Saturated Fat + Trans Fat (g),Allergens
FRESH 52 B,Hummus,,1 ounce,Hummus,70,2,4,0,5,0.5,0,2,120,90,10,0.7,0,0,0,45,-,0,"Garlic, Sesame"
FRESH 52 B,Salsa,,1 floz,Salsa,10,0,2,1,0,0,0,less than 1 gram,230,90,10,0.1,-,0,1,0,-,0+,"Onion, Tomato, Garlic"
FRESH 52 B,Shredded Vegan Cheddar Cheese,,1 ounce,Vegan Cheddar Cheese Style Shreds,90,less than 1 gram,8,0,7,4,0,0,230,10,120,0,0,0,0,60,-,5,Tree Nuts
FRESH 52 B,Lettuce Leaf,,1 each,Lettuce Leaf,0,0,0,0,0,0,0,0,0,10,0,0.1,0,0,1,0,-,0,
FRESH 52 B,Sliced Tomatoes,,1 slice,Tomatoes,0,0,less than 1 gram,0,0,0,0,0,0,30,0,0,0,0,2,0,-,0,Tomato
FRESH 52 B,Dill Relish,,1 ounce,Pickle Relish,35,0,10,-,0,0,0,less than 1 gram,310,20,0,0.3,0,0,1,0,-,0,
FRESH 52 B,Sliced Dill Pickles,Sliced Dill Pickles,1 ounce,Pickles,0,0,less than 1 gram,0,0,0,0,0,230,30,20,0.1,0,0,1,0,-,0,Mustard*
FRESH 52 B,Julienne Yellow Onions,,1 ounce,Onions,10,0,3,1,0,0,0,0,0,40,10,0.1,0,0,2,0,-,0,Onion
FRESH 52 B,Kale Salad,,1/2 cup,"Kale, Tomatoes, Radish, Olive Oil, Lemon Juice, Salt, Sugar, White Pepper",80,2,5,2+,6,1,0,3,300,330,170,1.2,-,0,66,50,-,0+,Tomato
FRESH 52 B,Pickled Beet Salad,"Sliced pickled beets, fresh onions all tossed and served in a light vinaigrette",1/2 cup,"Beets (Beets, water, salt), Onions, Lettuce Leaf, Red Wine Vinegar, Canola Oil, Parsley, Salt, Sugar, Black Pepper, Cumin",45,1,8,5,1,0,0+,2,260,160,20,1.7,-,0+,6,10,-,0+,"Onion, Sulphites"
FRESH 52 B,Vegetable Pasta Salad,,1/2 cup,"Water, Penne, Tomatoes, Balsamic Vinaigrette, Broccoli, Kalamata Olives, Onions, Salt",70,2,11,2,3,0,0,1,200,70,10+,0.4,0,0,8+,25,0+,0+,"Gluten, Wheat, Onion, Tomato, Garlic, Mustard*, Egg*, Celery*"
FRESH 52 B,Coleslaw,Shredded cabbage tossed in dressing.,1/2 cup,"Cabbage mix (Red Cabbage, White Cabbage, Carrots), Coleslaw Dressing, Carrots",120,1,11,9,9,1.5,10,2,220,280,40,0.6,0,0,26,80,5+,0,"Egg, Onion, Garlic, Mustard, Celery"
FRESH 52 B,Watermelon,,1 wedge,Watermelon,90,2,22,18,0,0,0,1,0,330,20,0.7,0,0,24,0,-,0,
FRESH 52 B,Red Seedless Grapes,,1/4 cup,Grapes,25,0,7,6,0,0,0,0,0,80,0,0.1,0,0,1,0,-,0,
FRESH 52 B,Cubed Pineapple,,1/4 cup,Pineapple,20,0,5,4,0,0,0,less than 1 gram,0,40,10,0.1,0,0,20,0,-,0,
FRESH 52 B,Cubed Cantaloupe,,1/4 cup,Cantaloupe,15,0,3,3,0,0,0,0,5,110,0,0.1,0,0,15,0,-,0,
FRESH 52 B,Fat Free Cottage Cheese,,1/4 cup,Fat Free Cottage Cheese,25,4,2,less than 1 gram,0,0,less than 5 milligrams,0,135,50,30,0.1,-,0,0,0,-,0+,"Milk, MSG*"
FRESH 52 B,Low Fat Plain Yogurt,,1/4 cup,Low Fat Yogurt,30,3,4,3,0.5,0,less than 5 milligrams,0,40,120,90,0,0,25,-,0,-,0,Milk
FRESH 52 B,Low-Fat Blueberry Yogurt,,1/4 cup,Low Fat Blueberry Yogurt,35,1,7,5,0,0,0,0,20,60,40,0,0,30,-,0,-,0,Milk
FRESH 52 B,Blueberries,,1 ounce,Blueberries,15,0,3,2,0,0,0,less than 1 gram,0,20,0,0.1,0,0,1,0,-,0,
FRESH 52 B,Oats 'n Honey Granola,,1 ounce,Granola,130,2,20,7,4.5,0.5,0,1,100,60,0,0.6,0,0,0,45,0,0,"Wheat, Soy, Gluten*"
FRESH 52 B,Cream Cheese,,1 ounce,Cream Cheese,100,2,2,1,10,6,30,0,90,40,30,0,0,0,0,90,-,5,Milk
FRESH 52 B,Maple Honey Cream Cheese,Maple Honey Cream Cheese,1 ounce,"Cream Cheese, Honey, Maple Extract",100,2,3,3+,9,5+,25,0,80,40,20,0,-,0,0,80,-,5+,"Milk, Sulphites, Gluten*, Alcohol, Wheat*"
FRESH 52 B,Strawberry Cream Cheese,Laced with sweet strawberries,1 ounce,"Cream Cheese, Strawberry Preserves",100,1,4,3,8,5,25,0,75,30,20,0,0,0,0+,80,-,5,"Milk, MSG*, Strawberry, Gluten*"
FRESH 52 B,Butter PC,,1 each,Butter,70,0,0,0,8,4.5,25,0,60,0,0,0,0,0,0,70,-,5,Milk
FRESH 52 B,"Margarine, Smart Balance, 5g",Margarine,1 each,"INGREDIENTS: NATURAL OIL BLEND (PALM FRUIT, SOYBEAN, CANOLA, FLAXSEED AND OLIVE OILS), WATER, CONTAINS LESS THAN 2% SALT, SORBITAN ESTER OF VEGETABLE FATTY ACIDS, MONOGLYCERIDE OF VEGETABLE FATTY ACIDS, SOYBEAN LECITHIN, POTASSIUM SORBATE, TBHQ AND CALCIUM DISODIUM EDTA TO PROTECT FRESHNESS, NATURAL AND ARTIFICIAL FLAVOR, LACTIC ACID, VITAMIN A PALMITATE, BETA-CAROTENE COLOR AND VITAMIN E ACETATE. CONTAINS: SOYBEAN.",30,0,0,0,3,1,0,0,30,0,0,0,0,0,0,30,35,0,Soy
FRESH 52 B,"Jelly, Assorted (Grape, Strawberry, Mixed Fruit), Smuckers",,1 each,"Concord Grape Jelly: Concord Grape Juice, High Fructose Corn Syrup, Corn Syrup, Fruit Pectin, Citric Acid, Sodium Citrate.
Strawberry Jam: Strawberries, High Fructose Corn Syrup, Corn Syrup, Sugar, Fruit Pectin, Citric Acid.
Mixed Fruit Jelly: High Fructose Corn Syrup, Corn Syrup, Grape Juice, Apple Juice, Fruit Pectin, Citric Acid. 
Manufacturer will not declare gluten free ",35,0,9,8,0,0,0,0,5,-,-,-,0,-,-,0,-,0,"Strawberry, Gluten*"
FRESH 52 B,"Peanut Butter, .75 oz, Jif",,1 each,"INGREDIENTS: MADE FROM ROASTED PEANUTS AND SUGAR, CONTAINS 2% OR LESS OF: MOLASSES, FULLY HYDROGENATED VEGETABLE OILS (RAPESEED AND SOYBEAN), MONO AND DIGLYCERIDES, SALT. Gluten Free. ALLERGENS: Peanuts. ",120,4,5,2,10,2,0,2,90,120,10,0.3,0,0,-,90,-,0,Peanuts
FRESH 52 B,Nutella,,3/4 ounce,Chocolate Hazelnut Spread,110,1,13,12,6,2.5,less than 5 milligrams,less than 1 gram,10,100,20,0.6,0,0,-,60,-,0,"Milk, Tree Nuts, Soy"
PURE EATS,Lemon Oregano Grilled Chicken,Chicken thighs marinated with Greek flavors and grilled,4 oz meat,"Chicken, Lemon Juice, Olive Oil, Garlic, Oregano, Salt, Black Pepper",200,21,less than 1 gram,0,12,2.5,115,0,250,250,10,1.1,-,5,2,100,-,5+,"Garlic, Poultry"
PURE EATS,"Cucumber, Tomato, Parsley Salad",Parsley lemon dressing combined with fresh tomatoes and cucumbers,1/2 cup,"Cucumber, Tomatoes, Onions, Lemon Juice, Olive Oil, Parsley, Salt, Black Pepper",30,less than 1 gram,4,2,1.5,0,0,less than 1 gram,70,160,10,0.3,-,0,8,15,-,0+,"Onion, Tomato"
PURE EATS,Spiced Cauliflower Steak,Thick slices of cauliflower with aromatic spices,6 ounce,"Cauliflower, Olive Oil, Black Peppercorns, Salt, Paprika (Paprika and Silicon Dioxide), Cumin, Coriander, Cinnamon, Black Pepper, Ground Allspice, Cardamom, Nutmeg, Cloves",90,4,10,3+,5,1,0,4,210,540,50,1.2,-,0,82,45,-,0+,
PURE EATS,Lemon Dill Coleslaw,Coleslaw with a light lemon-dill vinaigrette,1/2 cup,"Cabbage, Radish, Canola Oil, Lemon Juice, Salt, Black Pepper, Dill",50,less than 1 gram,3,2+,4.5,0,0,1,230,100,20,0.3,0,0,19,40,-,0,
PURE EATS,"Chickpeas, Spinach, Roasted Tomatoes","Chickpeas and spinach sauteed with garlic, tomatoes and onions",1/2 cup,"Water, Spinach, Tomatoes, Garbanzo Beans, Onions, Lemon Juice, Canola Oil, Garlic, Salt, Black Pepper",160,8,24,5,4,0,0,7,100,520,80,3.2,0,0,19,35,0+,0+,"Onion, Tomato, Garlic"
PURE EATS,Shaved Brussels Salad,,1/2 cup,"Brussels Sprouts, Lemon Juice, Olive Oil, Salt, Black Pepper",60,1,3,less than 1 gram,6,1,0,1,200,150,20,0.6,-,0,29,50,-,0+,
PURE EATS,Pickled Beet Salad,"Sliced pickled beets, fresh onions all tossed and served in a light vinaigrette",1/2 cup,"Beets (Beets, water, salt), Onions, Lettuce Leaf, Red Wine Vinegar, Canola Oil, Parsley, Salt, Sugar, Black Pepper, Cumin",45,1,8,5,1,0,0+,2,260,160,20,1.7,-,0+,6,10,-,0+,"Onion, Sulphites"
PURE EATS,Black Bean and Corn Salad,Spicy Classical Black Bean Salad ,1/2 cup,"Black beans (Black beans, water, salt, calcium chloride), Corn, Onions, Lime, Jalapeno, Olive Oil, Cilantro, Garlic, Cumin",100,5,18,2,2,0,0,5,75,300,30,1.5,-,0,9,20,-,0+,"Onion, Garlic"
PURE EATS,Cubed Watermelon,,1/4 cup,Watermelon,10,0,2,2,0,0,0,0,0,30,0,0.1,0,0,2,0,-,0,
SWEET SHOPPE,Chocolate Chip Cookies,Soft sugar cookie dotted with chocolate chips,1 each,Chocolate Chip Cookie Dough,130,1,17,10,6,3,less than 5 milligrams,0,100,30,0,1,0,0,0,50,15,5,"Beef*, Gluten, Milk, Pork*, Wheat, Egg, Soy"
SWEET SHOPPE,Oatmeal Raisin Cookies,Soft sugar made from ats with raisins and a touch of mollasses,1 each,Oatmeal Raisin Cookie Dough,120,1,18,10,4.5,2,less than 5 milligrams,less than 1 gram,115,50,10,1.2,0,0,0,40,0,0,"Gluten, Milk, Wheat, Egg, Soy"
SWEET SHOPPE,Brownie,,1 each,Brownie,210,3,35,26,6,2.5,45,1,240,190,0,1,0,0,-,60,-,5,"Gluten, Milk, Wheat, Egg, Soy"
SWEET SHOPPE,Lemon Banquet Cake,,1 slice,Lemon Banquet Cake,550,4,56,39,34,10,65,0,270,80,20,1.1,0,0,-,310,-,10,"Beef*, Gluten, Milk, Pork*, Wheat, Egg, Soy, Tree Nuts*, Sulphites"
SWEET SHOPPE,Pound Cake,Moist and delicious.,1 1/10th,Pound Cake,200,2,20,10,12,5,50,0,125,30,10,0.6,0,0,-,110,-,5,"Gluten, Milk, Wheat, Egg, Soy"
SWEET SHOPPE,M&M Rice Krispie Treats ,Sweet and Yummy Rice Krispy Treats with M&M's,1 each,"Marshmallows, Rice Krispies Cereal, M&M Candies, Butter, Vanilla Extract",430,3,80,41+,12,8+,25,0,270,60,20,8.6,0,90,0+,110,-,10+,"Beef*, Gluten, Milk, Pork*, Peanuts*, Soy, Alcohol"
SWEET SHOPPE,Regular Vegan Tofu Carrot Cupcakes					,,4 oz portion,"Carrots, All Purpose Flour, Vanilla Icing, Tofu, Raisins, Brown Sugar (sugar, cane syrups), Orange Juice, Canola Oil, Vanilla Extract, Baking Powder, Salt, Baking Soda, Cinnamon",330,5,53,28+,10,3+,0,2,350,200,80,2,-,0,3+,90,0+,5+,"Gluten, Orange, Wheat, Soy, Alcohol"
